LOCATION_NAME,TSN,LATITUDE,LONGITUDE,EFA_ID,PHONE,ADDRESS,FACILITIES,ACCESSIBILITY,TRANSPORT_MODE,MORNING_PEAK,AFTERNOON_PEAK
"Ashfield Station",213110,-33.88755061,151.1255042,10101209,"02 9752 8356","Brown St, Ashfield NSW 2131","Bike racks | Transport Park&Ride | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet | Taxi rank","This location is wheelchair accessible | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi",7-9am,4-6.30pm
"Asquith Station",207730,-33.68876996,151.1080252,10101128,"02 9847 8495","Haldane St, Asquith NSW 2077","Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space","Wheelchair ramp boarding assistance | This location is not wheelchair accessible | PA system for announcements | Short platforms, leave the train from the last 6 cars",Train,7-9am,4-6.30pm
"Attunga Coach Stop",23451,-30.92869,150.845836,10150244,,"Fossickers Way at Ridge St, Attunga NSW 2345",,,Coach,,
"Auburn Station",214410,-33.8492696,151.032867,10101219,"02 9848 9206","Rawson St, Auburn NSW 2144","Bike lockers | Bike racks | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible toilet (MLAK) | Baby change table | Taxi rank","This location is wheelchair accessible | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi",7-9am,4-6.30pm
"Austinmer Station",251540,-34.30641046,150.9293128,10101363,"02 4223 5573","Railway Ave, Austinmer NSW 2515","Bike racks | Commuter car park | Emergency help point | No Opal card top up or single trip ticket sales | Toilets | Wheelchair accessible car space","Tactile surfaces | This location is not wheelchair accessible | PA system for announcements","Train, Bus",6-8am,4-6.30pm
"Awaba Station",228310,-33.0129204,151.5416347,10101150,"02 4349 9241","Adelaide St, Awaba NSW 2283","Commuter car park | Emergency help point | No Opal card top up or single trip ticket sales","Stairs | This location is not wheelchair accessible | PA system for announcements | Short platforms, leave the train from the last 4 cars","Train, Bus",6-7.45am,4-6.30pm
"Ballina Coach Stop",24782,-28.86933,153.560592,10150141,,"Tamar St before Moon St, Ballina NSW 2478",,,"Bus, Coach",,
"Ballina West Coach Stop",24781,-28.864101,153.533926,10150143,,"West Tower Tavern, River St, West Ballina NSW 2478",,,"Coach, Bus",,
"Balmain East Wharf",20414,-33.85696725,151.1959756,10102010,,"Darling St, Balmain East NSW 2041","Bike racks | Emergency help point | Opal card top up or single trip ticket machine","This location is wheelchair accessible | Hearing loop | Tactile surfaces | PA system for announcements","Bus, Ferry",,
"Balmain Wharf",20413,-33.85471605,151.1863604,10102008,,"Thames St, Balmain NSW 2041","Bike racks | Emergency help point | Opal card top up or single trip ticket machine | Wheelchair accessible car space","This location is wheelchair accessible | Hearing loop | PA system for announcements",Ferry,,
"Balranald Coach Stop",27151,-34.640572,143.564637,10150298,,"Balranald Information Centre, Market St, Balranald NSW 2715",,,Coach,,
"Bangalow Coach Stop",24791,-28.686545,153.5248,10150239,,"Station St at Byron St, Bangalow NSW 2479",,,Coach,,
"Banksia Station",221610,-33.94528645,151.1404316,10101334,"02 9563 7429","Hattersley St, Banksia NSW 2216","Bike racks | Emergency help point | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Taxi rank","Stairs | Tactile surfaces | This location is not wheelchair accessible | PA system for announcements","Train, Bus, Taxi",7-9am,4-6.30pm
"Bankstown Station",220010,-33.91786454,151.0346869,10101401,"02 9563 7160","North Tce, Bankstown NSW 2200","Bike lockers | Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible payphone | Wheelchair accessible toilet | Baby change table | Taxi rank","This location is wheelchair accessible | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi",7-9am,4-6.30pm
"Baradine Coach Stop",23961,-30.949333,149.066505,10150325,,"Wellington St at Darling St, Baradine NSW 2396",,,Coach,,
"Barangaroo Wharf",2000441,-33.864377,151.200591,10102039,,"Wulugul Walk, Barangaroo NSW 2000","Opal card top up or single trip ticket machine | Emergency help point","This location is wheelchair accessible | Hearing loop | PA system for announcements | Tactile surfaces",Ferry,,
"Bardwell Park Station",220710,-33.93161666,151.1248574,10101410,"02 9563 7428","Hartill-Law Ave, Bardwell Park NSW 2207","Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets","Stairs | This location is not wheelchair accessible | PA system for announcements","Train, Bus",7-9am,4-6.30pm
"Barellan Coach Stop",26655,-34.284782,146.572035,10150174,,"Burley Griffin Way before Myall St, Barellan NSW 2665",,,Coach,,
"Bargo Station",257420,-34.29136493,150.5802091,10101303,"02 4684 1320","Hume Hwy, Bargo NSW 2574","Commuter car park | Emergency help point | No Opal card top up or single trip ticket sales | Toilets | Wheelchair accessible car space","This location is not wheelchair accessible | PA system for announcements | Short platforms, leave the train from the last 2 cars","Train, Bus",6-8am,4-6.30pm
"Barmedman Coach Stop",26681,-34.143373,147.386609,10150247,,"Queen St after Star St, Barmedman NSW 2668",,,Coach,,
"Barooga Coach Stop",36441,-35.91225,145.69018,10150296,,"Vermont St at McFarland St, Barooga NSW 3644",,,Coach,,
"Barraba Coach Stop",23472,-30.380272,150.609609,10150015,,"Alice St before Queen St, Barraba NSW 2347",,,Coach,,
"Bathurst Station",279538,-33.42562703,149.5832161,10101281,"13 22 32","Havannah St, Bathurst NSW 2795","Bike racks | Commuter car park | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible payphone | Wheelchair accessible toilet (MLAK) | Baby change table | Taxi rank","This location is wheelchair accessible | Wheelchair ramp boarding assistance | PA system for announcements","Train, Regional coach, Bus, Taxi","No peak",4-6.30pm
"Batlow Coach Stop",27301,-35.520277,148.14722,10150240,,"Memorial Ave at Pioneer St, Batlow NSW 2730",,,Coach,,
"Beckom Coach Stop",26652,-34.331341,146.958477,10150171,,"Service Station, Newell Hwy, Beckom NSW 2665",,,Coach,,
"Beecroft Station",211910,-33.74995417,151.0662982,10101197,"02 9847 8421","Wongala Cres, Beecroft NSW 2119","Bike lockers | Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet | Taxi rank","Stairs | This location is not wheelchair accessible | PA system for announcements","Train, Bus, Taxi",7-9am,4-6.30pm
"Beenleigh Coach Stop",42071,-27.717673,153.204518,10150020,,"Beenleigh Station, Coach Terminal, Alamein St, Beenleigh QLD 4207",,,Coach,,
"Bega Coach Stop",25503,-36.673857,149.842188,10150291,,"Church St at Carp St, Bega NSW 2550",,,"Bus, Coach",,
"Belbora Coach Stop",24227,-32.012693,152.178504,10150182,,"2767 The Bucketts Way, Belbora NSW 2422",,,Coach,,
"Bell Station",278620,-33.50568554,150.2788861,10101272,"02 4787 8452","Bells Line of Road, Bell NSW 2786","Emergency help point | No Opal card top up or single trip ticket sales","Level crossing | This location is not wheelchair accessible | PA system for announcements | Short platforms, leave the train from the last 4 cars",Train,6-7.15am,4-6.30pm
"Bellambi Station",251810,-34.36331842,150.9099025,10101367,"02 4223 5579","Bellambi Lane, Bellambi NSW 2518","Commuter car park | Emergency help point | Payphone | No Opal card top up or single trip ticket sales | Toilets | Wheelchair accessible car space | Taxi rank","Level crossing | Tactile surfaces | This location is not wheelchair accessible | PA system for announcements | Short platforms, leave the train from the last 6 cars","Train, Bus, Taxi",6-8am,4-6.30pm
"Bellata Station",23971,-29.9183,149.7905,10155045,"13 22 32","Newell Hwy, Bellata NSW 2397",,"This location is wheelchair accessible | Wheelchair ramp boarding assistance | Short platforms, please see the train guard",Train,,
"Belmore Station",219210,-33.91721798,151.0887332,10101397,"02 9563 7578","Burwood Rd, Belmore NSW 2192","Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet | Taxi rank","This location is wheelchair accessible | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi",7-9am,4-6.30pm
"Bemboka Coach Stop",25501,-36.627333,149.568778,10150295,,"General Store, Snowy Mountains Hwy, Bemboka NSW 2550",,,Coach,,
"Ben Bullen Coach Stop",2790133,-33.218809,150.021411,10150041,,"Castlereagh Hwy after Quarry Rd, Ben Bullen NSW 2790",,,Coach,,
"Bendick Murrell Coach Stop",28031,-34.159821,148.445796,10150059,,"Main St after Ewens St, Bendick Murrell NSW 2803",,,Coach,,
"Berala Station",214120,-33.87183567,151.0324418,10101390,"02 9752 8813","Woodburn Rd, Berala NSW 2141","Bike racks | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Taxi rank","Stairs | Tactile surfaces | This location is wheelchair accessible | PA system for announcements | Lift","Train, Bus, Taxi",7-9am,4-6.30pm
"Beresfield Station",232230,-32.79894599,151.6578627,10101172,"02 4962 9944","Addison St, Beresfield NSW 2322","Commuter car park | Emergency help point | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible payphone | Wheelchair accessible toilet | Taxi rank","This location is wheelchair accessible | Hearing loop | Lift | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi",6-7am,4-6.30pm
"Berowra Station",208110,-33.6236572,151.1529711,10101131,"02 9847 8496","Pacific Hwy, Berowra NSW 2081","Bike lockers | Bike racks | Commuter car park | Emergency help point | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible payphone","This location is wheelchair accessible | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements | Short platforms, leave the train from the last 6 cars","Train, Bus",7-9am,4-6.30pm
"Berridale Coach Stop (northbound)",26282,-36.365118,148.82788,10161931,,"Berridale Inn, Jindabyne Rd, Berridale NSW 2628",,,Coach,,
"Berridale Coach Stop (southbound)",26281,-36.365863,148.827031,10161932,,"Berridale Lions Park, Jindabyne Rd, Berridale NSW 2628",,,Coach,,
"Berrigan Coach Stop",27121,-35.658002,145.812199,10150144,,"Jerilderie St after Carter St, Berrigan NSW 2712",,,Coach,,
"Berry Station",253510,-34.78033267,150.6969659,10101388,"02 4464 1022","Station Rd, Berry NSW 2535","Bike racks | Commuter car park | Emergency help point | Payphone | No Opal card top up or single trip ticket sales | Toilets | Wheelchair accessible car space | Wheelchair accessible payphone | Taxi rank","This location is wheelchair accessible | Hearing loop | Level crossing | Tactile surfaces | PA system for announcements","Train, Bus, Taxi",6-8am,4-6.30pm
"Beverly Hills Station",220910,-33.94884857,151.0816922,10101413,"02 9563 7650","Morgan St, Beverly Hills NSW 2209","Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible toilet | Baby change table | Taxi rank","This location is wheelchair accessible | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi",7-9am,4-6.30pm
"Bexhill Coach Stop",24801,-28.76554,153.34515,10150131,,"Bexhill School, Banglow Rd, Bexhill NSW 2480",,,Coach,,
"Bexley North Station",220720,-33.93756601,151.1133973,10101411,"02 9563 7613","Kingsgrove Ave, Bexley North NSW 2207","Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets","Stairs | This location is not wheelchair accessible | PA system for announcements","Train, Bus",7-9am,4-6.30pm
"Bibbenluke Coach Stop",26321,-36.811109,149.280902,10150053,,"Monaro Hwy opp Bukalong Siding Rd, Bibbenluke NSW 2632",,,Coach,,
"Billinudgel Coach Stop",24831,-28.505065,153.528385,10150341,,"Bonanza Dr opp Lucky Lane, Billinudgel NSW 2483",,,Coach,,
"Binalong Coach Stop (northbound)",25842,-34.672661,148.629146,10150279,,"Stephens St before Monteagle St, Binalong NSW 2584",,,Coach,,
"Binalong Coach Stop (southbound)",25841,-34.67597,148.634203,10150281,,"Stephens St before Twynam St, Binalong NSW 2584",,,Coach,,
"Bingara Coach Stop (northbound)",240421,-29.868516,150.572172,10150275,,"Cunningham St at Maitland St, Bingara NSW 2404",,,Coach,,
"Bingara Coach Stop (southbound)",240422,-29.869512,150.572223,10150006,,"Maitland St after Cunningham St, Bingara NSW 2404",,,Coach,,
"Biniguy Coach Stop",23991,-29.536002,150.20611,10150356,,"Gwydir Hwy at Biniguy Ave, Biniguy NSW 2399",,,Coach,,
"Binna Burra Coach Stop",24792,-28.706562,153.497345,10150235,,"Bangalow Rd before Friday Hut Rd , Binna Burra NSW 2479",,,Coach,,
"Binnaway Coach Stop",23951,-31.55185,149.378649,10150219,,"Binnaway Post Office, Bullinda St, Binnaway NSW 2395",,,Coach,,
"Binya Coach Stop",26653,-34.229159,146.344388,10162150,,"Binya Post Office, Francis St, Binya NSW 2665",,,Coach,,
"Birchgrove Wharf",20412,-33.84645581,151.1863405,10102007,,"Louisa Rd, Birchgrove NSW 2041","Emergency help point | No Opal card top up or single trip ticket sales","Hearing loop | Stairs | This location is not wheelchair accessible | PA system for announcements",Ferry,,
"Birrong Station",214320,-33.8932786,151.0240413,10101403,"02 9379 7727","Rodd St, Birrong NSW 2143","Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet","Stairs | Tactile surfaces | This location is not wheelchair accessible | PA system for announcements",Train,7-9am,4-6.30pm
"Blackheath Station",278510,-33.63288104,150.284345,10101270,"02 4780 3992","Railway Pde, Blackheath NSW 2785","Bike lockers | Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | No Opal card top up or single trip ticket sales | Toilets | Wheelchair accessible car space | Wheelchair accessible payphone | Taxi rank","Level crossing | Stairs | Tactile surfaces | This location is not wheelchair accessible | PA system for announcements","Train, Bus, Taxi",6-7.30am,4-6.30pm
"Blacktown Station",214810,-33.76822903,150.9075105,10101235,"02 9851 7212","Main St, Blacktown NSW 2148","Bike lockers | Bike racks | Bike shed | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible payphone | Wheelchair accessible toilet | Taxi rank","This location is wheelchair accessible | Escalator | Hearing loop (concourse only) | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi",7-9am,4-6.30pm
"Blaxland Station",277410,-33.74357659,150.6095957,10101256,"02 4739 1620","Station St, Blaxland NSW 2774","Bike lockers | Bike racks | Commuter car park | Emergency help point | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible payphone | Wheelchair accessible toilet | Taxi rank","This location is wheelchair accessible | Hearing loop | Lift | Stairs | Tactile surfaces | PA system for announcements | Short platforms, leave the train from the last 6 cars","Train, Bus, Taxi",6-8am,4-6.30pm
"Blayney Station",27991,-33.52704,149.254516,10155031,"13 22 32","Railway Lane, Blayney NSW 2799","Commuter car park | Emergency help point | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet | Baby change table","This location is wheelchair accessible | Wheelchair ramp boarding assistance | PA system for announcements",Train,,
"Blighty Coach Stop",27132,-35.591983,145.287219,10150199,,"Blighty Pub, Riverina Hwy, Blighty NSW 2713",,,Coach,,
"Bogan Gate Coach Stop",28761,-33.107693,147.803932,10150229,,"General Store, Station St, Bogan Gate NSW 2876",,,Coach,,
"Bogangar Coach Stop",24881,-28.332352,153.5697,10150121,,"Tweed Coast Rd opp Pandanus Pde, Bogangar NSW 2488",,,Coach,,
"Boggabri Station",23821,-30.703834,150.039827,10155054,"13 22 32","Oakham St, Boggabri NSW 2382","Emergency help point","This location is wheelchair accessible | Wheelchair ramp boarding assistance | Stairs | PA system for announcements | Short platforms, please see the train guard",Train,,
"Bolivia Coach Stop",23722,-29.289661,151.960969,10150025,,"New England Hwy opp Mt Spirabo Rd, Bolivia NSW 2372",,,Coach,,
"Bomaderry Station",254110,-34.85377666,150.6098088,10101389,"02 4423 0141","Meroo St, Bomaderry NSW 2541","Bike lockers | Bike racks | Commuter car park | Emergency help point | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet | Baby change table | Taxi rank","This location is wheelchair accessible | Hearing loop | Tactile surfaces | PA system for announcements","Train, Bus, Taxi",6-8am,4-6.30pm
"Bombala Coach Stop",26322,-36.911161,149.240322,10150052,,"Forbes St at Maybe St, Bombala NSW 2632",,,Coach,,
"Bombo Station",253320,-34.6580285,150.8539755,10101385,"02 4223 5613","Princes Hwy, Bombo NSW 2533","Commuter car park | Emergency help point | Payphone | No Opal card top up or single trip ticket sales | Wheelchair accessible car space | Taxi rank","This location is wheelchair accessible | Stairs | Tactile surfaces | PA system for announcements","Train, Taxi",6-8am,4-6.30pm
"Bondi Junction Station",202210,-33.89120228,151.2483843,10101109,"02 9379 4843","Grafton St, Bondi Junction NSW 2022","Bike lockers | Bike racks | Emergency help point | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible payphone | Wheelchair accessible toilet (MLAK) | Baby change table | Taxi rank","This location is wheelchair accessible | Escalator | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi",7-9am,4-6.30pm
"Booragul Station",228410,-32.97142254,151.6046902,10101152,"02 4962 9437","Station St, Booragul NSW 2284","Emergency help point | No Opal card top up or single trip ticket sales | Wheelchair accessible car space","Stairs | This location is not wheelchair accessible | PA system for announcements | Short platforms, leave the train from the last 4 cars",Train,6-7.30am,4-6.30pm
"Booral Coach Stop",24251,-32.466585,151.95947,10150344,,"The Bucketts Way at Booral Rd, Booral NSW 2425",,,Coach,,
"Boppy Mountain Coach Stop",28353,-31.531,146.2831,10150124,,"Barrier Hwy after Booroomugga Rd, Canbelego NSW 2835",,,Coach,,
"Bourke Coach Stop",28401,-30.094494,145.935178,10150352,,"Old Railway Station, Anson St, Bourke NSW 2840",,,Coach,,
"Bowning Coach Stop",25824,-34.767715,148.814797,10150137,,"Leake St opp Playfair St, Bowning NSW 2582",,,Coach,,
"Bowral Station",257610,-34.47812317,150.4166585,10101306,"02 4861 2045","Station St, Bowral NSW 2576","Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet | Baby change table | Taxi rank","This location is wheelchair accessible | Hearing loop | Lift | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi, Regional coach",6-8am,4-6.30pm
"Branxton Station",233510,-32.66225215,151.3456449,10101189,"02 6543 1018","Railway St, Branxton NSW 2335","Commuter car park | Emergency help point | No Opal card top up or single trip ticket sales","Stairs | This location is not wheelchair accessible | PA system for announcements | Short platforms, leave the train from the middle doors",Train,"No peak",4-6.30pm
"Bredbo Coach Stop",26261,-35.955665,149.14802,10150178,,"Service Station,Monaro Hwy, Bredbo NSW 2626",,,Coach,,
"Brewarrina Coach Stop",28391,-29.96192,146.861301,10150252,,"Belmore St after Bathurst St, Brewarrina NSW 2839",,,Coach,,
"Brisbane (Roma Street) Station",40002,-27.46577,153.018781,10155061,,"Roma St, Brisbane QLD 4000",,,"Train, Regional coach",,
"Brisbane (Roma Street) Station",9999998,-27.465325,153.01898,10155061,,"Roma Street, Brisbane City QLD 4000",,,"Regional train, Regional coach",,
"Broadmeadow Station",229210,-32.92301689,151.734686,10101160,"02 4962 9122","Graham Rd, Broadmeadow NSW 2292","Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible payphone | Wheelchair accessible toilet | Taxi rank","Hearing loop | Stairs | This location is wheelchair accessible | PA system for announcements | Short platforms, leave the train from the last 6 cars | Lift | Tactile surfaces","Train, Regional coach, Bus, Taxi",6-7.30am,4-6.30pm
"Broadwater Coach Stop",24721,-29.010026,153.435869,10150312,,"Pacific Hwy after Mathers Lane, Broadwater NSW 2472",,,Coach,,
"Broken Hill Station",28801,-31.959275,141.466665,10155000,"13 22 32","Crystal St, Broken Hill NSW 2880","Commuter car park | Emergency help point | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet | Taxi rank","This location is wheelchair accessible | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Taxi",,
"Broken Hill Town Coach Stop",28802,-31.960181,141.460489,10150203,,"Broken Hill Visitor Information Centre, Bromide St, Broken Hill NSW 2880",,,Coach,,
"Brunswick Heads Coach Stop",24832,-28.54016,153.550552,10150338,,"Brunswick Heads Information Centre, Park St, Brunswick Heads NSW 2483",,,"Coach, Bus",,
"Bulahdelah Coach Stop",24231,-32.409663,152.210861,10150233,,"Booloombayt St after Blanch St, Bulahdelah NSW 2423",,,Coach,,
"Bullaburra Station",278410,-33.72360616,150.4146074,10101265,"02 4759 1052","Great Western Hwy, Bullaburra NSW 2784","Commuter car park | Emergency help point | Payphone | No Opal card top up or single trip ticket sales","Stairs | This location is not wheelchair accessible | PA system for announcements | Short platforms, leave the train from the last 6 cars","Train, Bus",6-7.45am,4-6.30pm
"Bulli Station",251610,-34.33448098,150.9147439,10101365,"02 4223 5577","Railway St, Bulli NSW 2516","Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | No Opal card top up or single trip ticket sales | Toilets | Wheelchair accessible car space | Wheelchair accessible payphone | Wheelchair accessible toilet | Taxi rank","This location is wheelchair accessible | Lift | PA system for announcements","Train, Bus, Taxi",6-8am,4-6.30pm
"Bumbaldry Coach Stop",27942,-33.901793,148.466454,10150153,,"Tyagong Creek Rest Area, Mid Western Hwy, Bumbaldry NSW 2794",,,Coach,,
"Bundanoon Station",257810,-34.65613474,150.2987371,10101310,"02 4868 1115","Railway Ave, Bundanoon NSW 2578","Commuter car park | Emergency help point | No Opal card top up or single trip ticket sales | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet","Level crossing | This location is not wheelchair accessible | PA system for announcements","Train, Bus, Regional coach",6-8am,4-6.30pm
"Bundarra Coach Stop",23591,-30.171575,151.075729,10150103,,"Bendemeer St at Oliver St, Bundarra NSW 2359",,,Coach,,
"Bungendore Station",26211,-35.255778,149.446409,10155034,"13 22 32","Majara St, Bungendore NSW 2621","Commuter car park | Toilets","This location is wheelchair accessible | Wheelchair ramp boarding assistance | PA system for announcements | Short platforms, please see the train guard",Train,,
"Bungwahl Coach Stop",24234,-32.387086,152.444497,10161882,,"Bungwahl Store, The Lakes Way, Bungwahl NSW 2423",,,Coach,,
"Burleigh Heads Coach Stop (northbound)",42201,-28.089973,153.452729,10150242,,"Burleigh Heads Bowling Club, Gold Coast Hwy, Burleigh Heads QLD 4220",,,Coach,,
