id,name,street,suburb,postcode,type,suburb_id
10053,Bankstown Hospital School,Paediatric Unit Gallipoli St,Bankstown,2200,public,10031
10054,Bankstown Public School,Restwell St,Bankstown,2200,public,10031
10055,Bankstown Girls High School,Mona St,Bankstown,2200,public,10031
10056,Bankstown Senior College,Antwerp St,Bankstown,2200,public,10031
10057,La Salle Catholic College,544 Chapel Rd,Bankstown,2200,private,10031
10058,St Brendan's Catholic Primary School,18 Cambridge Avenue,Bankstown,2200,private,10031
10059,St Felix's Catholic Primary School,552 Chapel Road,Bankstown,2200,private,10031
10060,St Euphemia College,6-12 East Tce,Bankstown,2200,private,10031
10061,Al Amanah College,2-4 Winspear Avenue,Bankstown,2200,private,10031
10062,Bass Hill Public School,611 Hume Hwy,Bass Hill,2197,public,10038
10063,George Bass School,106 Johnston Road,Bass Hill,2197,public,10038
10064,Bass High School,10 Arundle Rd,Bass Hill,2197,public,10038
10065,Beecroft Public School,98 Beecroft Rd,Beecroft,2119,public,10044
10066,Cheltenham Girls High School,Beecroft Rd & The Promenade,Beecroft,2119,public,10044
10067,Arden Anglican School,39-43 Wongala Crescent,Beecroft,2119,private,10044
10068,Bellevue Hill Public School,Victoria Rd,Bellevue Hill,2023,public,10047
10069,Cranbrook School,5 Victoria Road,Bellevue Hill,2023,private,10047
10070,The Scots College,Victoria Road,Bellevue Hill,2023,private,10047
10071,The Scots College,Mansion Rd,Bellevue Hill,2023,private,10047
10072,Belmore North Public School,Burwood Rd,Belmore,2192,public,10048
10073,Belmore South Public School,Nelson Ave & Canterbury Rd,Belmore,2192,public,10048
10074,Belmore Boys High School,Burwood Rd,Belmore,2192,public,10048
10075,St Joseph's Catholic Primary School,8 Wilson Ave,Belmore,2192,private,10048
10076,All Saints Greek Orthodox Grammar School,Cnr Isabel and Cecilia Streets,Belmore,2192,private,10048
10077,Berala Public School,Harrow Rd,Berala,2141,public,10050
10078,Berowra Public School,Hillcrest Rd,Berowra,2081,public,10052
10079,Berowra Christian Community School,Cnr King St & Berowra Waters Rd,Berowra,2081,private,10052
10080,Beverly Hills Public School,Stoney Ck & King Georges Rds,Beverly Hills,2209,public,10058
10081,Beverly Hills North Public School,Shorter Ave & King Georges Rd,Beverly Hills,2209,public,10058
10082,Beverly Hills Girls High School,Broadarrow & King Georges Rds,Beverly Hills,2209,public,10058
10083,Regina Coeli Catholic Primary School,2 Tarrilli Street,Beverly Hills,2209,private,10058
10084,Birchgrove Public School,Birchgrove Rd,Balmain,2041,public,10026
10085,Balmain Public School,1 Eaton Street,Balmain,2041,public,10026
10086,Inner Sydney Montessori School,44 Smith Street,Balmain,2041,private,10026
10087,Fr John Therry Catholic Primary School,2 Eaton Street,Balmain,2041,private,10026
10088,Blakehurst Public School,Dewrang St,Blakehurst,2221,public,10071
10089,Bald Face Public School,Stuart St,Blakehurst,2221,public,10071
10090,Blakehurst High School,270A Woniora Rd,Blakehurst,2221,public,10071
10091,Mater Dei Catholic Primary School,29 Heath Road,Blakehurst,2221,private,10071
10092,Blaxcell Street Public School,352 Blaxcell Street,Granville,2142,public,10270
10093,Granville Public School,Lena St,Granville,2142,public,10270
10094,Granville East Public School,210 The Trongate,Granville,2142,public,10270
10095,Granville Boys High School,14 Mary St,Granville,2142,public,10270
10096,Holy Trinity Primary School,Grimwood Street,Granville,2142,private,10270
10097,Delany College,Grimwood Street,Granville,2142,private,10270
10098,Bondi Beach Public School,Campbell Pde,Bondi Beach,2026,public,10074
10099,Wairoa School,Brighton Blvd,Bondi Beach,2026,public,10074
10100,Galilee Catholic Primary School,60B Blair Street,Bondi Beach,2026,private,10074
10101,Boronia Park Public School,113 Pittwater Rd,Hunters Hill,2110,public,10310
10102,Hunters Hill Public School,17 Alexandra St,Hunters Hill,2110,public,10310
10103,Hunters Hill High School,Reiby Rd,Hunters Hill,2110,public,10310
10104,St Joseph's College,Mark Street,Hunters Hill,2110,private,10310
10105,Villa Maria Catholic Primary School,Mark Street,Hunters Hill,2110,private,10310
10106,Bossley Park Public School,Marconi Rd,Bossley Park,2176,public,10079
10107,Prairievale Public School,Prairievale & Mimosa Rds,Bossley Park,2176,public,10079
10108,Bossley Park High School,Prairievale Rd,Bossley Park,2176,public,10079
10109,Mary Immaculate Catholic Primary School,110 Mimosa Road,Bossley Park,2176,private,10079
10110,Brighton-Le-Sands Public School,35 Crawford Road,Brighton-Le-Sands,2216,public,10085
10111,Cairnsfoot School,58A Francis Avenue,Brighton-Le-Sands,2216,public,10085
10112,St Thomas More's Catholic School,Francis Avenue,Brighton-Le-Sands,2216,private,10085
10113,Bringelly Public School,1205 The Northern Road,Bringelly,2556,public,10086
10114,Bronte Public School,Hewlett St,Bronte,2024,public,10087
10115,Brooklyn Public School,106 Brooklyn Rd,Brooklyn,2083,public,10088
10116,Brookvale Public School,Old Pittwater Rd,Brookvale,2100,public,10089
10117,St Augustine's College,Alfred Road,Brookvale,2100,private,10089
10118,Burnside Public School,1 Masons Drive,North Parramatta,2151,public,10463
10119,Parramatta North Public School,Albert St,North Parramatta,2151,public,10463
10120,St Monica's Primary School,10 Daking Street,North Parramatta,2151,private,10463
10121,Tara Anglican School for Girls,Masons Drive,North Parramatta,2151,private,10463
10122,The King's School,87-129 Pennant Hills Road,North Parramatta,2151,private,10463
10123,Redeemer Baptist School,2-12 Masons Drive,North Parramatta,2151,private,10463
10124,Burwood Public School,1-3 Conder Street,Burwood,2134,public,10093
10125,Southern Cross Catholic Vocational College,17 Comer Street,Burwood,2134,private,10093
10126,MLC School,Rowley Street,Burwood,2134,private,10093
10127,Cabramatta Public School,Levuka St,Cabramatta,2166,public,10097
10128,Cabramatta West Public School,Broad St,Cabramatta,2166,public,10097
10129,Harrington Street Public School,13-25 Harrington Street,Cabramatta,2166,public,10097
10130,Lansvale East Public School,Riverside Rd,Cabramatta,2166,public,10097
10131,Cabramatta High School,Aladore Ave,Cabramatta,2166,public,10097
10132,Sacred Heart Catholic School,Gilmore Street,Cabramatta,2166,private,10097
10133,Camden Public School,John St,Camden,2570,public,10102
10134,Cawdor Public School,865 Cawdor Rd,Camden,2570,public,10102
10135,Mount Hunter Public School,165 Burragorang Rd,Camden,2570,public,10102
10136,Camden South Public School,Hume Hwy,Camden,2570,public,10102
10137,Mawarra Public School,Macarthur Rd,Camden,2570,public,10102
10138,Camden High School,300 Cawdor Rd,Camden,2570,public,10102
10139,St Paul's Catholic Primary School,20 Mitchell Street,Camden,2570,private,10102
10140,Mater Dei School,229 Macquarie Grove Road,Camden,2570,private,10102
10141,Camdenville Public School,Laura St,Newtown,2042,public,10454
10142,Newtown North Public School,Carillon Ave,Newtown,2042,public,10454
10143,Australia Street Infants School,Australia St,Newtown,2042,public,10454
10144,Newtown Public School,Norfolk St,Newtown,2042,public,10454
10145,Newtown High School of Performing Arts,King St,Newtown,2042,public,10454
10146,The Athena School,28 Oxford Street,Newtown,2042,private,10454
10147,Cammeray Public School,Palmer St,Cammeray,2062,public,10105
10148,Anzac Park Public School,2 Anzac Avenue,Cammeray,2062,public,10105
10149,Campbelltown Public School,Lithgow St,Campbelltown,2560,public,10106
10150,Kentlyn Public School,Georges River Rd,Campbelltown,2560,public,10106
10151,Campbelltown North Public School,Thomas St & Rudd Rd,Campbelltown,2560,public,10106
10152,Campbelltown East Public School,Waminda Ave,Campbelltown,2560,public,10106
10153,Briar Road Public School,Briar Rd,Campbelltown,2560,public,10106
10154,Dorchester School,Briar Rd,Campbelltown,2560,public,10106
10155,Beverley Park School,Beverley Rd,Campbelltown,2560,public,10106
10156,Lomandra School,Beverley Rd,Campbelltown,2560,public,10106
10157,Campbelltown Performing Arts High School,Beverley Rd,Campbelltown,2560,public,10106
10158,Airds High School,Briar Rd,Campbelltown,2560,public,10106
10159,St John the Evangelist Catholic Primary School,Lindesay Street,Campbelltown,2560,private,10106
10160,St Patrick's College,4 St Johns Road,Campbelltown,2560,private,10106
10161,St Thomas More Catholic Primary School,6 St Johns Road,Campbelltown,2560,private,10106
10162,St Peter's Anglican Primary School,Howe Street,Campbelltown,2560,private,10106
10163,Broughton Anglican College,Menangle Road,Campbelltown,2560,private,10106
10164,Campsie Public School,Evaline St,Campsie,2194,public,10108
10165,Harcourt Public School,First Ave,Campsie,2194,public,10108
10166,Wangee Park School,12 Second Avenue,Campsie,2194,public,10108
10167,St Mel's Catholic Primary School,14 Duke Street,Campsie,2194,private,10108
10168,Canley Vale Public School,Canley Vale Rd,Canley Vale,2166,public,10111
10169,Lansvale Public School,Chancery St,Canley Vale,2166,public,10111
10170,Canley Vale High School,Prospect Rd,Canley Vale,2166,public,10111
10171,Pal Buddhist School,14 First Avenue,Canley Vale,2166,private,10111
10172,Canterbury Public School,Church St,Canterbury,2193,public,10113
10173,Canterbury South Public School,High St,Canterbury,2193,public,10113
10174,Canterbury Boys High School,Holden St,Canterbury,2193,public,10113
10175,Canterbury Girls High School,Church St,Canterbury,2193,public,10113
10176,Caringbah Public School,Port Hacking Rd,Caringbah,2229,public,10114
10177,Caringbah North Public School,125 Cawarra Rd,Caringbah,2229,public,10114
10178,Laguna Street Public School,204 Caringbah Road,Caringbah,2229,public,10114
10179,Sutherland Hospital School,Child Adolescent Unit Level 3,Caringbah,2229,public,10114
10180,Caringbah High School,85 Willarong Rd,Caringbah,2229,public,10114
10181,Endeavour Sports High School,Taren Pt Rd & The Boulevarde,Caringbah,2229,public,10114
10182,"De La Salle Catholic College, Caringbah",389 Port Hacking Road,Caringbah,2229,private,10114
10183,Our Lady of Fatima Catholic Primary School,389 Port Hacking Road,Caringbah,2229,private,10114
10184,Carlton Public School,60 Cameron St,Bexley,2207,public,10059
10185,Bexley North Public School,116 Kingsland Rd,Bexley,2207,public,10059
10186,Bexley Public School,Forest Rd,Bexley,2207,public,10059
10187,Sydney Technical High School,Forest Rd,Bexley,2207,public,10059
10188,Marist College Kogarah,52 Wolseley St,Bexley,2207,private,10059
10189,St Gabriel's Catholic School,50-52 Abercorn Street,Bexley,2207,private,10059
10190,St Mary and St Mina's Coptic Orthodox College,339-377 Forest Road,Bexley,2207,private,10059
10191,Carlton South Public School,Jubilee Ave,Carlton,2218,public,10117
10192,Castle Hill Public School,Les Shore Place,Castle Hill,2154,public,10123
10193,Excelsior Public School,Rondelay Drive,Castle Hill,2154,public,10123
10194,Samuel Gilbert Public School,Ridgecrop Drive,Castle Hill,2154,public,10123
10195,Oakhill Drive Public School,Oakhill Drive,Castle Hill,2154,public,10123
10196,Castle Hill High School,Castle St,Castle Hill,2154,public,10123
10197,Oakhill College Castle Hill,423-513 Old Northern Road,Castle Hill,2154,private,10123
10198,St Bernadette's Primary School,357 Old Northern Road,Castle Hill,2154,private,10123
10199,Hills Adventist College,84 Cecil Avenue,Castle Hill,2154,private,10123
10200,Gilroy Catholic College,Marie St,Castle Hill,2154,private,10123
10201,St Gabriel's School for Hearing Impaired Children,190 Old Northern Road,Castle Hill,2154,private,10123
10202,St Angela's Primary School,40 Harrington Avenue,Castle Hill,2154,private,10123
10203,Cattai Public School,487 Cattai Rd,Cattai,2756,public,10128
10204,Chipping Norton Public School,Central Ave,Chipping Norton,2170,public,10140
10205,Georges River Environmental Education Centre,Central Ave,Chipping Norton,2170,public,10140
10206,Clemton Park Public School,185 Bexley Rd,Earlwood,2206,public,10206
10207,Earlwood Public School,Homer St,Earlwood,2206,public,10206
10208,Undercliffe Public School,Bayview Ave,Earlwood,2206,public,10206
10209,Our Lady of Lourdes Catholic Primary School,St James Avenue,Earlwood,2206,private,10206
10210,Clovelly Public School,Arden St,Waverley,2024,public,10643
10211,Waverley Public School,Bronte Rd,Waverley,2024,public,10643
10212,St Catherine's School,26 Albion Street,Waverley,2024,private,10643
10213,St Charles' Primary School,53-63 Carrington Road,Waverley,2024,private,10643
10214,St Clare's College,41-51 Carrington Road,Waverley,2024,private,10643
10215,Waverley College,131 Birrell Street,Waverley,2024,private,10643
10216,Waverley College,44 Henrietta Street,Waverley,2024,private,10643
10217,Cobbitty Public School,Cobbitty Rd,Cobbitty,2570,public,10153
10218,Macarthur Anglican School,605 Cobbitty Road,Cobbitty,2570,private,10153
10219,Aspect Macarthur School,229 Macquarie Grove Road,Cobbitty,2570,private,10153
10220,Colyton Public School,Nelson St,Mount Druitt,2770,public,10438
10221,Mount Druitt Public School,51 Belmore Avenue,Mount Druitt,2770,public,10438
10222,Chifley College Mount Druitt Campus,Stuart St,Mount Druitt,2770,public,10438
10223,Chifley College Senior Campus,67 North Parade,Mount Druitt,2770,public,10438
10224,Bethel Christian School,104-112 Mount Druitt Road,Mount Druitt,2770,private,10438
10225,Australian Islamic College of Sydney,33 Headcorn Street,Mount Druitt,2770,private,10438
10226,St Bishoy Coptic Orthodox College,53-59 Methven Street,Mount Druitt,2770,private,10438
10227,Loyola Senior High School,91 North Parade,Mount Druitt,2770,private,10438
10228,Comleroy Road Public School,McMahons Rd,Kurrajong,2758,public,10349
10229,Kurrajong Public School,1111 Grose Vale Rd,Kurrajong,2758,public,10349
10230,Hawkesbury Independent School,316 Comleroy Road,Kurrajong,2758,private,10349
10231,Como Public School,Genoa St,Como,2226,public,10158
10232,Como West Public School,Wolger & Warraba Sts,Como,2226,public,10158
10233,St Joseph's Catholic Primary School Como - Oyster Bay,Oyster Bay Road,Como,2226,private,10158
10234,Concord Public School,Burwood Rd,Concord,2137,public,10159
10235,Mortlake Public School,Brays Rd,Concord,2137,public,10159
10236,Concord High School,Stanley St,Concord,2137,public,10159
10237,St Mary's Catholic Primary School,2 Broughton Street,Concord,2137,private,10159
10238,Concord West Public School,Concord Rd,Concord West,2138,public,10160
10239,Victoria Avenue Public School,64-66 Victoria Avenue,Concord West,2138,public,10160
10240,Rivendell School,Thomas Walker Est  Hospital Rd,Concord West,2138,public,10160
10241,St Ambrose Catholic Primary School,Stuart Street,Concord West,2138,private,10160
10242,Connells Point Public School,Riverview Ave,South Hurstville,2221,public,10582
10243,Coogee Public School,Byron St & Coogee Bay Rd,Coogee,2034,public,10164
10244,St Brigid's Catholic Primary School,160 Coogee Bay Rd,Coogee,2034,private,10164
10245,Cowan Public School,Chandler Ave,Cowan,2081,public,10167
10246,Cronulla Public School,18-24 Burraneer Bay Rd,Cronulla,2230,public,10172
10247,Cronulla South Public School,Ewos Pde,Cronulla,2230,public,10172
10248,Woolooware Public School,Wills Rd,Cronulla,2230,public,10172
10249,Burraneer Bay Public School,161-165 Burraneer Bay Rd,Cronulla,2230,public,10172
10250,Cronulla High School,Captain Cook Drive,Cronulla,2230,public,10172
10251,Our Lady of Mercy Catholic College Burraneer,62-66 Dominic Street,Cronulla,2230,private,10172
10252,St Aloysius Catholic Primary School,Giddings Avenue,Cronulla,2230,private,10172
10253,De La Salle Catholic College  Cronulla,2 Cross Street,Cronulla,2230,private,10172
10254,Darlington Public School,Golden Grove St,Chippendale,2008,public,10139
10255,Dee Why Public School,Regent St,Dee Why,2099,public,10188
10256,Fisher Road School,115 Fisher Rd,Dee Why,2099,public,10188
10257,St Kevin's Catholic Primary School,57 - 59 Oaks Avenue,Dee Why,2099,private,10188
10258,St Luke's Grammar School,210 Headland Road,Dee Why,2099,private,10188
10259,Doonside Public School,Cnr Kildare Rd & School Pde,Doonside,2767,public,10196
10260,Crawford Public School,Power St,Doonside,2767,public,10196
10261,Doonside High School,Power St,Doonside,2767,public,10196
10262,Mountain View Adventist College,41 Doonside Road,Doonside,2767,private,10196
10263,St John Vianney's Primary School,17 Cameron Street,Doonside,2767,private,10196
10264,Double Bay Public School,William St,Double Bay,2028,public,10197
10265,Drummoyne Public School,Rawson Ave,Drummoyne,2047,public,10199
10266,St Mark's Catholic Primary School,31 Tranmere St,Drummoyne,2047,private,10199
10267,Dural Public School,622 Old Northern Rd,Dural,2158,public,10204
10268,Pacific Hills Christian School,9-11 Quarry Road,Dural,2158,private,10204
10269,Warrah Village Rudolf Steiner School for Curative Education,20-24 Harris Road,Dural,2158,private,10204
10270,Redfield College,855 Old Northern Rd,Dural,2158,private,10204
10271,New Hope School,9-15 Quarry Road,Dural,2158,private,10204
10272,Eastern Creek Public School,200 Rooty Hill Road South,Eastern Creek,2766,public,10213
10273,Panania Public School,21 Lawler Street,Panania,2213,public,10494
10274,East Hills Public School,Lucas Rd,Panania,2213,public,10494
10275,Panania North Public School,Bransgrove Rd,Panania,2213,public,10494
10276,Tower Street Public School,74 Tower St,Panania,2213,public,10494
10277,East Hills Girls Technology High School,Lucas Rd,Panania,2213,public,10494
10278,East Hills Boys High School,Lucas Rd,Panania,2213,public,10494
10279,St Christopher's Catholic Primary School,237 Tower Street,Panania,2213,private,10494
10280,Ebenezer Public School,531 Sackville Rd,Ebenezer,2756,public,10217
10281,Emu Plains Public School,Emerald St,Emu Plains,2750,public,10229
10282,Emu Heights Public School,Wedmore Rd,Emu Plains,2750,public,10229
10283,Leonay Public School,Buring Ave,Emu Plains,2750,public,10229
10284,Nepean Creative and Performing Arts High School,Great Western Hwy,Emu Plains,2750,public,10229
10285,Our Lady of the Way Primary School,17 Troy Street,Emu Plains,2750,private,10229
10286,McCarthy Catholic College (Emu Plains),75 Mackellar Street,Emu Plains,2750,private,10229
10287,Enfield Public School,Beaumaris St,Enfield,2136,public,10230
10288,Strathfield South High School,Hedges Ave,Enfield,2136,public,10230
10289,St Joseph's Catholic Primary School,126 Liverpool Road,Enfield,2136,private,10230
10290,Engadine Public School,Waratah Rd,Engadine,2233,public,10231
10291,Engadine West Public School,Woronora Rd,Engadine,2233,public,10231
10292,Yarrawarrah Public School,Old Bush Rd,Engadine,2233,public,10231
10293,Marton Public School,107 Kingswood Rd,Engadine,2233,public,10231
10294,Engadine High School,Porter Rd,Engadine,2233,public,10231
10295,St John Bosco Catholic Primary School,Banksia Avenue,Engadine,2233,private,10231
10296,St John Bosco College,Banksia Avenue,Engadine,2233,private,10231
10297,Southern Cross Baptist Church Christian School,104 Anzac Ave,Engadine,2233,private,10231
10298,"Dunlea Centre, Australia's Original Boys' Town",35A Waratah Road,Engadine,2233,private,10231
10299,Epping Public School,2-16 Norfolk Road,Epping,2121,public,10234
10300,Epping West Public School,96 Carlingford Rd,Epping,2121,public,10234
10301,Epping Heights Public School,Kent St,Epping,2121,public,10234
10302,Karonga School,Karonga Close (via Dent St),Epping,2121,public,10234
10303,Our Lady Help of Christians Catholic Primary School,8-14 Cambridge Street,Epping,2121,private,10234
10304,Arden Anglican School,50 Oxford Street,Epping,2121,private,10234
10305,Ermington Public School,Winbourne St,West Ryde,2114,public,10656
10306,West Ryde Public School,Endeavour St,West Ryde,2114,public,10656
10307,Melrose Park Public School,110 Wharf Rd,West Ryde,2114,public,10656
10308,Marsden High School,22a Winbourne St,West Ryde,2114,public,10656
10309,Fairfield Public School,68-82 Smart St,Fairfield,2165,public,10240
10310,Fairfield Heights Public School,Station St,Fairfield,2165,public,10240
10311,Fairvale Public School,Wolseley St,Fairfield,2165,public,10240
10312,Fairfield High School,The Horsley Drive,Fairfield,2165,public,10240
10313,Our Lady of the Rosary Catholic Primary School,20 Vine Street,Fairfield,2165,private,10240
10314,Patrician Brothers' College Fairfield,268 The Horsley Drive,Fairfield,2165,private,10240
10315,Warakirri College,Level 1  1-3 Hamilton Road,Fairfield,2165,private,10240
10316,Fairfield West Public School,Palmerston Rd,Fairfield West,2165,public,10243
10317,Westfields Sports High School,406A Hamilton Road,Fairfield West,2165,public,10243
10318,Fairvale High School,Thorney Rd & Maude St,Fairfield West,2165,public,10243
10319,Five Dock Public School,Henry St,Five Dock,2046,public,10246
10320,All Hallows Catholic Primary School,1 Halley St,Five Dock,2046,private,10246
10321,Domremy Catholic College,121 First Avenue,Five Dock,2046,private,10246
10322,Rosebank College,1A Harris Road,Five Dock,2046,private,10246
10323,Forest Lodge Public School,Bridge Rd,Forest Lodge,2037,public,10249
10324,Fort Street Public School,Observatory Hill,Sydney,2000,public,10606
10325,Conservatorium High School, Macquarie Street,Sydney,2000,public,10606
10326,St Mary's Cathedral College,St Mary'S Road,Sydney,2000,private,10606
10327,Macquarie Grammar School,225 Clarence Street Levels 4 and 8,Sydney,2000,private,10606
10328,St Andrew's Cathedral Gawura School,Sydney Square,Sydney,2000,private,10606
10329,St Andrew's Cathedral School,St Andrew's House 474 Kent Street,Sydney,2000,private,10606
10330,Freemans Reach Public School,395 Kurmond Road,Freemans Reach,2756,public,10251
10331,Hawkesbury High School,1 Hibberts Lane,Freemans Reach,2756,public,10251
10332,Frenchs Forest Public School,Ann St,Frenchs Forest,2086,public,10252
10333,Mimosa Public School,Blackbutts Rd & Mimosa St,Frenchs Forest,2086,public,10252
10334,Arranounbai School,5 Aquatic Drive,Frenchs Forest,2086,public,10252
10335,The Forest High School,135 Frenchs Forest Rd,Frenchs Forest,2086,public,10252
10336,Davidson High School,Mimosa St,Frenchs Forest,2086,public,10252
10337,Galston Public School,School Rd,Galston,2159,public,10254
10338,Galston High School,403 Galston Rd,Galston,2159,public,10254
10339,Girraween Public School,Bando Rd,Girraween,2145,public,10257
10340,Girraween High School,110 Gilba Rd,Girraween,2145,public,10257
10341,St Anthony's Primary School,216 Targo Rd,Girraween,2145,private,10257
10342,Gladesville Public School,Victoria Rd,Gladesville,2111,public,10258
10343,Riverside Girls High School,Huntleys Point Rd,Gladesville,2111,public,10258
10344,Our Lady Queen of Peace Catholic Primary School,Cnr Westminster Rd And Oxford St,Gladesville,2111,private,10258
10345,Giant Steps Sydney,23 Punt Road,Gladesville,2111,private,10258
10346,Glenfield Public School,Railway Pde,Glenfield,2167,public,10263
10347,Glenwood Public School,Belmont Rd,Glenfield,2167,public,10263
10348,Glenfield Park School,Roy Watts Rd,Glenfield,2167,public,10263
10349,Campbell House School,Roy Watts Rd,Glenfield,2167,public,10263
10350,Ajuga School,Quarter Sessions Road,Glenfield,2167,public,10263
10351,Hurlstone Agricultural High School,Roy Watts Rd,Glenfield,2167,public,10263
10352,Glenhaven Public School,Glenhaven Rd,Glenhaven,2156,public,10264
10353,Lorien Novalis School for Rudolf Steiner Education,456 Old Northern Road,Glenhaven,2156,private,10264
10354,Glenmore Road Public School,Glenmore Rd,Paddington,2021,public,10489
10355,Paddington Public School,Oxford St,Paddington,2021,public,10489
10356,St Francis of Assisi Regional Catholic Primary School,64 Gordon St,Paddington,2021,private,10489
10357,Sydney Grammar School  Edgecliff Preparatory School,7 Alma Street,Paddington,2021,private,10489
10358,The Waranara Centre,461-463 Oxford St,Paddington,2021,private,10489
10359,Glenorie Public School,Old Northern Rd,Glenorie,2157,public,10266
10360,Hillside Public School,Cattai Ridge Rd,Glenorie,2157,public,10266
10361,Glossodia Public School,Golden Valley Drive,Glossodia,2756,public,10268
10362,Granville South Public School,Woodville Rd,Guildford,2161,public,10284
10363,Guildford Public School,Apia St,Guildford,2161,public,10284
10364,Old Guildford Public School,Woodville Rd,Guildford,2161,public,10284
10365,Granville South Creative and Performing Arts High School,53 Rowley Road,Guildford,2161,public,10284
10366,St Patrick's Primary School,34 Calliope Street,Guildford,2161,private,10284
10367,Green Valley Public School,Green Valley Rd,Green Valley,2168,public,10274
10368,Busby West Public School,Starling St,Green Valley,2168,public,10274
10369,James Busby High School,Brolga Cresc,Green Valley,2168,public,10274
10370,Green Valley Islamic College,264 Wilson Road,Green Valley,2168,private,10274
10371,Greenwich Public School,32 Kingslangley Rd,Greenwich,2065,public,10279
10372,Greystanes Public School,Merrylands Rd,Greystanes,2145,public,10281
10373,Ringrose Public School,Ringrose Ave,Greystanes,2145,public,10281
10374,Beresford Road Public School,Beresford Rd,Greystanes,2145,public,10281
10375,Widemere Public School,Nemesia St,Greystanes,2145,public,10281
10376,Greystanes High School,Beresford Rd,Greystanes,2145,public,10281
10377,Holroyd High School,7 Cumberland Rd,Greystanes,2145,public,10281
10378,Our Lady Queen of Peace Primary School,Braeside Road,Greystanes,2145,private,10281
10379,St Paul's Catholic College,198 Old Prospect Road,Greystanes,2145,private,10281
